Review,Rating
"Бесит, что защитные стекла все идут не на весь экран а по краям значительное расстояние идет из-за скошенных углов;(Батарею бы хотелось помощнее, увы она в шестерке тоже не фонтан. Желательно чехол сразу да такой, чтоб все углы защищал, а то алюминиевый корпус царапается в два счёта и при падении и при носке в кармане с ключами;))",5
"Вот уже третий год радует телефон, а с ios10 стал еще быстрее и плавнее. На 7-ку даже как-то сложно перейти, ибо аппарат до сих пор ну очень хорошо справляется со своими обязанностями)",5
"Телефонами apple пользуюсь с выхода модели 3G и отличной эту модель уже назвать не могу. Просто качественный хороший смартфон. Не хуже других, что для продукции Apple должно звучать оскорблением. Тонкий корпус с закругленными, ставшими узкими, гранями не особо обрадовал. В руках ощущается скользким, особенно когда надо добраться до верхнего края экрана. Невольно задумаешься, что рано или поздно выскользнет. Проблему решил родной кожаный чехол, он реально классный, всем смело рекомендую, правда до этого я не на одной модели аксессуарами не пользовался. Так что плюс это или минус решайте сами. Кроме размера коренных отличий от 5S не вижу. Очень удивил мелкий глюк - при выводе списка абонентов при их прокручивании вниз экрана на самый последний невозможно нажать, он сразу прячется за нижний край, не смертельно, конечно, но раньше я подобных огрехов за яблоком вообще не помню. В целом хороший, добротный телефон.",4
"Аккумулятора в стандартном режиме всегда хватает на полный день. При необходимости беру с собой внешний аккумулятор - лучше так (имхо), чем портить дизайн и увеличивать толщину устройства ради большего аккумулятора.",5
"После 5s чувствуется разница в первую очередь в скорости работы и аккумуляторе. Размер корпуса стал больше, удобнее смотреть фильмы. Фото живые - отличное качество, много разных функций у камеры. Отличный айфон, всем советую!",5
"Мне показалось, что телефон очень прочный, роняла его много раз, и, благо, без последствий. Единственная причина по которой я бы хотела сменить телефон, это память, мне 64гб не хватает, так как уже на телефоне 10к фото, однако и эта проблема по своему решаема, можно купить Айклауд память аж на 2Т. Поэтому если Вы в 2018 году думаете брать или не брать 6S — берите! За его нынешнюю стоимость это прекрасный аппарат!",5
"Покупали сразу два - черный и золотой. Пользуюсь айфонами с модели 3g и могу сказать что 6 - реально лучший айфон. Чего нельзя было сказать, к примеру, о 5 и 5S. Очень тонкий, приятный монолитный корпус со скруглёнными гранями, отлично лежит в руке. К размерам после предыдущих моделей привыкаешь за пару дней, и они уже кажутся очень мелкими. Такой размер экрана - идеальный, и не слишком большой, и не слишком маленький, как на айфоне 4. Реально айфон 4 после этого - как спичечный коробок. очень хороший громкий звук, отлично ловит сет, выдает прекрасную производительность, можно спокойно рубиться в WOT без каких либо лагов. за несколько месяцев - ни одной царапины и потёртости несмотря на использование без чехла. НЕ гнётся. Проверено на собственных джинсах.))В общем, лучший смартфон на рынке, каждый раз берешь его в руки и чувствуешь настоящую качествнную вещь.",5
"В целом аппарат кайфовый, но цена нынешняя пугает все в том числе и меня)) Купил за 56490руб. Даже друзья боятся его брать в руки)). Я долго выбирал этот аппарат много вариантов разных перебрал но самым удобным в эксплуатации оказался именно этот. Если финансы позволяют то советую лучше и удобнее пока ничего не предумали.",5
"Проблемы чисто софтверные, и выражаются в явном неуважении компании к своим клиентам.",3
"Полный офис яблочников с многолетним стажем. За день общения, консультаций, личного участия музыку с ПК через iTunes так и не залили. В виде винегрета-это без проблем, а строго по исполнителям, альбомам, годам - фиг вам. В исходниках музыки все ОК, но ""яблоку"" виднее и переименовывает по своему разумению, как правило в неизвестных солдат. Самому ручками 15гиг музыки переименовывать после Тюнса как-то в облом. Телефонная книга с gmail.com тоже не сразу правильно встала.ОС телефона и софт заточены под выполнение строгих правил Apple. Это вам не вольное общение с Андроид. Смирно и в ногу. На кой ляд купил - жалею. Жил с Моторолой без проблем...",3
"Приятный телефон в использовании, Камера на 5, цвета на экране отлично отображаются. Быстро садится батарея, впрочем, по-моему, это беда всех смартфонов при активном пользовании",5
"Я не знаю, попался ли мне брак, или Администрация салона была настолько безответственная! Просто обидно, когда телефон за 50 т.р выпадает с такими характеристиками. Аккумулятор работал нормально, но через месяц после того, как мы поменяли на новый, он стал менее автономным. Я не стал объяснять в недостатках, как я исправлял все эти , ибо просто позорно, что компания не может обеспечить пользователю плавную работу смартфона, да ещё и за такие бешеные бабки.",2
"Всем заядлым ""яблочникам"" хочу сказать,что чувства смешанные. Вроде и одна из последних моделей (на время покупки) и на селфи перед зеркалом очень симпатичная модель телефона, но:Любителям селфи - фронтальная камера не оч. и 16 гб маловато для хранения всех фоток и видео.Лично я использую различные облачные ресурсы, таким образом решила проблему с нехваткой памяти и денег на модель с объемом памяти побольше :)Недостатки по корпусу - уж очень он нежный,особенно при смене чехлов. В задний карман джинс ложила,садилась - не согнулся.Сильная сторона телефона - дисплей. Крутое изображение, в общем в стиле Apple, добавить нечего. Звук в наушниках хороший, как,собственно и без них. В целом, если как я с 4Sки-переходить стоит, с 5s-смысла вроде нет, только если не хотите экран побольше. Но определенно жду 7ку.",4
"Не являюсь особым приверженцом Эппл или Андроид, вполне понимаю, что за эти деньги можно было взять к примеру Самсунг Галакси S7. И писать кипятком. Но писать не очень хотелось, а больше хотелось беспроблемной миграции, перехода, наличие зарядок и шнуров от прошлого айфона, Да и в целом прошлая безпроблемная эксплуатация Айфонов оставила только приятные впечатления.",5
"Я часто меняю телефоны, люблю экспериментировать с разными форм-факторами, операционными системами - и за долгий путь от ericsson T10s до этого айфона всего несколько телефонов, что называется, ""легли на душу"". Это Nokia N95 и iPhone 4. Много раз, после продажи четвертого айфона, я пытался достичь того же ""телефонного комфорта"" - но не получалось. В погоне за разрешением, количеством ядер и мегапикселями камеры не получилось вернуть ту простую радость от использования iOS. Оговорюсь - я глубоко субъективен в этом вопросе.Система выросла с тех пор, появилось куча новых возможностей, новый дизайн (господи, как же он мне не нравился поначалу...) - но само удовольствие от процесса взаимодействия с устройством остается. Недавно я брал флагман от xiaomi - отличная, в общем-то, вещь, и miui 6 очень похожа на ios - только вот мелочи портят все! Колоссальный расход батареи даже в простое; зависло там, подлагнуло здесь - это всё сильно бросается в глаза. Это сложно объяснить, наверно это надо испытать самому. Даже тот приятный момент, что мой новый айфон 6 живет уже второй день без подзарядки и тратит в простое несколько процентов за ночь (около 5%). И вот, в итоге, айфон 6 радует меня почти так же, как в свое время радовал айфон 4. Нет, конечно же, прежнего ""вау-эффекта"" - но это добротный девайс для постоянного использования; для любителей фотографировать, слушать музыку и не особо заморачиваться с настройками. В паре с айпадом (у меня Air 1) - вызывает совсем детский восторг :3  Как итог:Качество изготовления отличное. Не люфтит, кнопка home не болтается как на 5s, краска не облезает - внешне похож на обычный современный флагман от самсунг, только из матового алюминия и с яблоком :)Адекватность цены - хм, цена завышена. Это факт, и дело не в жадности.Удобство - сниму балл за iTunes, хотя лично я привык.Итог: 8,5 из 10В целом рекомендую к покупке, но сначала проверьте себя на apple-совместимость, взяв любой девайс от apple у друзей или знакомых.",4
"Покупал 6-ку в интернет магазине, перед этими посмотрел в Интернете возможные брак. Мне предложили 6-ку для азиатского рынка (цена 41 с копейками), вот все браки, которые возможно они там присутствуют.  Потом принесли 6-ку для европейского рынка (цена 44 ровно), просто супер, ни каких люфтов, сползаний камер и прочего. Вывод: стоит чуть доплатить и взять хороший, качественный iPhone )))",4
"Я для себя понял, что не стоит брать продукцию Apple. Купил эту ошибку природы за 54990 рублей, лучше бы купил Yota Phone.",3
"Пользовался около месяца. С точки зрения эргономики - очень не плохо, тонкий, легких, прочный. С точки зрения использования, дно. Не лагает, но бывает что греется при самых простых задачах - типа проверить почту. Привычка кидать трубку на док безпроводной зарядки прошла, удобства это не добавило.Автономка реальная, около 2 часов экрана, или 10-12 часов умеренного использования. При небольшом желании (ЛТЕ + почта + игрушка) сажается за час с небольшим (аппарат РСТ с официального сайта эйпл).В итоге, воспринимается как простая звонилка т.к. расход аккума запредельный, на встречу только с повербанком. Фотки хорошие, из мобильных камер думаю в топ 10. Новый датчик гораздо быстрее чем на 5s.Сравнивая с 5s могу сказать что на лицо ""поле искаженной реальности"", аппарат вроде лучше, но хуже.  Хотя, к макбуку и айпаду никаких претензий. Один из главных плюсов - слил его на ваторичке за 1 день и по весьма вкусной цене.",3
"Спустя 1.5 года с SGS5 я снова вернулся в сторону Apple, хотя зарекался. Но внезапная кончина экрана (без падений и прочего) внесла свои коррективы. Долго присматривался к 7ке, но особых преимуществ, кроме сенсорной кнопки home не увидел в повседневной эксплуатации. Все таки очень нравится мне отношение к мелочам и исправление своих же косяков (чего самсунгу со времён СГС4 не хватает). TouchID второго поколения чуть быстрее, батарея чуть лучше, камера чуть быстрее. А forcetouch и Taptic Engine нового поколения вносят свою лепту к комфорту, за который можно просить и закрытость операционной, сложности с синхронизацией (допустим историю переписки с того же WhatsApp он с гугловской учетки тянуть не хочет, когда ведроид спокойно вытаскивал. Короче я доволен, на следующие 1.5-2 года можно не особо париться с заменой аппарата.",5
"Довольно долго сопротивлялся смартфонам. Да и сейчас основной звонилкой остается nokia 8800. Но необходимость оставаться мобильным и развитие сетей 4G определили выбор. По началу таскал с собой iPad, но потом перешел на валявшийся без дела iphone4. Удобно черт возьми, но стала утомлять его неторопливость. iphone6 по части быстродействия на голову выше. а джейл дает достаточную свободу действий при работе с файлами и архивами (по старой памяти люблю поковыряться в консоли).Многие могут возразить - вот мол Андроид. Но как то исторически не заладилось еще с версии 2.1. Да и хорошая тушка с андроидом немногим дешевле стоит.",5
"Меняю айфоны через один.4S, 5S, 6S.Настроил достаточно быстро.Надо было подумать, как включить исчезнувший режим модема, но в целом все ок.Это качественный продукт, который стоит своих денег. Я пользуюсь им ежедневно на все 100% - почта, инет, приложения и доволен.",4
"Купил жене, в замен iphone 6. Отличий 6 от 6S для пользователя реально нет! Ни во внешнем виде (даже не понтанешься=)), ни в функциях (опять же кроме Тач 3Д). Короче вообще нет смысла покупать его, если есть iphone 6. Тем не менее телефон отличный",4
"Никаких положительных эмоций этот аппарат у меня не вызывает. Вызывает чувство обиды, потому что реально не стоит это устройство 66т.р. Если бы мой HTC не умер, ходил бы с ним дальше и радовался жизни.",2
Купила дочки ей очень понравилось,5
"Для меня - лучший телефон. Почему конкретно? Все уже по сто раз написано другими людьми. Безупречный дизайн, мощная начинка, крутейшая оптимизация софта и железа, удобнейшая iOS 9, очень быстрый датчик отпечатка пальцев. Перечислять можно очень долго. Да, дорого. Но оно того стоит. Понимаешь это буквально за пару часов. Всем рекомендую :)",5
"Если вы сомневаетесь нужен ли вам iPhone, если вы хотите его купить только ради понтов, а все что вам требуется - это звонить, писать смс и делать селфи, не покупайте iPhone! Если чтобы купить его, вам нужно копить деньги несколько месяцев, не покупайте iPhone!Основное преимущество айфона - это огромный выбор приложений, это мультимедийное устройство для работы и жизни. А дешевые понты айфоном в метро при том, что видно что все что на вас одето стоит дешево, выглядит более чем глупо и неуместно. Особенно жаль тех девочек, которые долго копили или выпрашивали данный кирпич, а потом случайно уронили и разбили стекло, и так и ходят с разбитым, ведь денег на замену стекла уже нет совсем или их настолько жалко.Очень долго пользовался iPhone 3Gs, пока не выронил его в такси. Позже по геолокации телефон определил свое месторасположение в Узбекистане :)Позже пытался пользоваться другими телефонами, но без привычного набора программ прямо как без рук. В итоге приобрел данный девайс, моментально подгрузился весь список контактов и пр. из облака с моего старого айфона.Очень радует, что исчезла необходимость синхронизации с iTunes и устройство спокойно может существовать и обновляться фактически без непосредственного взаимодействия с компьютером.Насчет батарейки, то это не телефон быстро ее разряжает, а использование 3G и LTE. Отключайте сотовые данные и будет вам счастье в виде долгой работы батареи. Андроид-телефоны съедают заряд еще быстрее.",5
"Устройство хорошее, ему не нужны характеристики конкурентов, главное, что под свою ОС он заточен идеально, работает хорошо, а после обновлений 8.0.1 и 8.0.2 многие баги уйдут. Брать стоит, но конечная стоимость высоковата, учитывая, что американцам он как стоил эти 700 баксов, так и стоит. А увеличение дисплея для меня и плюс и минус. Осень/зима по Москве особо не поездишь, в метро одной рукой уже не до каждого угла экрана достанешь.",4
"Сразу скажу,что это не отзыв а совет людям,которые рассматривают данный телефон и заинтересованы в покупке.Рассказывать обо всех плюсах и минусах я не буду.Отзывов  и обзоров полно. Телефон шикарный,минусы компенсируются плюсами.Но вот одна проблема:цена кусается.Более 30000 рублей!Я не советую брать данный телефон в 2018 году,т.к есть замечательный IPhone SE(Для тех кто в танке,SE-тот же самый iPhone 6s,но в корпусе iPhone 5s.Только у него Touch ID первого поколения,фронтальная камера не 5MP,а 1.2MP и отсутствует Taptic Engine.И стоит эта радость +-20000!Даже за 18 найти можно.А если вам очень нужно пяти мегапиксельную фронтален,Touch ID второго поколения,Taptic Engine и большой экран то берите 6s.Но учтите,можно подкопить и взять уже 7.",5
"Очень сильно разочарован компанией SONY. Испортил впечатления от нового телефона то, что после покупки пришлось на ремонт отдать. Разговорный микрофон заменить. На день зарядки еле хватает.",1
"Возвращаюсь к Sony после нескольких экспериментов, и пока полностью им доволен. Не сказать, что я в восторге от этого недешёвого аппарата, но всё же и не подумаю искать замену, да и альтернатив ему попросту нет. Многие пожалуются на HD экран вместо FullHD, но на деле это пустые придирки - на таком экране всё прекрасно и четко видно, плюс из-за лишних пикселей пришлось бы ощутимо пожертвовать автономностью. Тем, кто хочет компактный аппарат, которым можно спокойно пользоваться в одной руке, да ещё и с бешеной начинкой, добротной камерой и хорошим звучанием в приправку с отличным брендом - однозначно брать!",5
"В целом аппарат отличный! Могу смело рекомендовать к покупке, посмотрим, как со временем себя покажет. Уже кстати за 2 недели использования пару раз летал у меня в машине с держателя для телефона - ничего, выжил, ни царапинки. Насчёт наушников и адаптера для быстрой зарядки скорее придирки, мне это не критично, но согласитесь, было бы приятно видеть всё это из коробки, когда 40к выкладываешь за телефон.",5
"В целом, за 300 с небольшим баксов вполне вменяемая цена для данного аппарата. К скорости работы вопросов нет. Батарею держит в среднем около суток - маловато. Прошивка с мелкими багами. Камера снимает не плохо, но могла бы и лучше - опять же проблема ПО.До этого был z3 compact, к нему претензий было на порядок меньше.",4
"После старой Соньки z3 compact хотела только соню. Яблоко - нет, спасибо, проходили. У мужа самсунг,  склонял к А8 (он дешевле на несколько тысяч).Но я все равно купила этот маленький xz1.Интерфейс поменялся. Нет быстрого доступа к калькулятору и фото экрана. Непонятно зачем убрали.Аккумулятор - судить рано, год поюзаю - тогда можно об этом говорить. Фронталка широкоуголная - да, прикольная штука. Пока все нравится. Посмотрим. Z3 прожил всего 2,5 года. Сломался тачскрин,  можно конечно было просто его заменить, так как в остальном рабочий телефон. До него айфон прожил примерно столько же.",4
"Создается впечатление что компания сильно сдает. Выезжает только на популярности бренда. Аппарыты выпущеные в продажу не проработаны и плохо продуманы, появилось много косяков недопустимые для аппарата такой компании и за такие деньги! На основании вышеперечисленного хочется сказать компании Apple: Вы либо качество поднимите, либо цену снизьте, либо народ потянется в скором времени на андроид, благо что сейчас выбора моделей с весьма приличными характеристиками и невысокой ценой предостаточно!",3
"Apple это качественная вещь, и бренд тут не причем, я перепробовала много телефонов, но iOS самая лучшая система, без геморроев, да, есть платные вещи - как музыка, но вы и получаете качественный товар и навсегда привязанный к вашему аккаунту!",5
"Стоит ли покупать аппарат за 650$ для звонков, (с)ебяшек и сидения вконтактике? ОДНОЗНАЧНО НЕТ. Хотя если вы хотите кому-то показать свою зажиточность и #янетакаякаквсе - все же обязательно (правда с развитием кредитных программ, купить его может любой тракторист (абстрактно, ничего против этих ребят не имею) но кто на это смотрит :)). Однако если вы пользователь любого Mac (ОСОБЕННО Mac), iPad и прочих яблодевайсов - покупка обязательна. Единая экосистема Apple значительно упрощает жизнь.  Специально не писал отзыв до выхода OS X Yosemite, т.к. хотел попробовать Continuity в действии. Очень крутые фичи, дроид пока такого не умеет и вряд ли сумеет в обозримом будущем. 1 Гб оперативки + А8 - за глаза. Если любите меряться пис... эээ, гигабайтами - аппарат не для вас. Эргономика: на любителя. Привыкнув к четким граням iPhone начиная с 4го, шестерка кажется какой-то ""неайфонной"", что ли. Вообще, вы очень немного потеряете, взяв 5S, а не 6. Стоит дешевле (у нас), по возможностям практически не проигрывает.",4
"Телефон больше модный,мажорный чем прогрессивный.Качество сборки на уровне дешевых аппаратов.",3
"До этого пользовался самсунгами note 1,2 sony z1 compact, сейчас есть LG G3 решил попробовать айфон 6 т.к. экран подрос до комфортного для меня размера. Купил. Я в игры играю редко, видео тоже снимаю не часто, но из 16 гб всего доступно 11 это даже не смешно. Я думал такое только на андойдах бывает, но там то можно хотя бы карточку докупить... Вобщем для комфорта нужно брать 64. В целом телефон смотрится и ощущается в руке хорошо, но все ощущение дороговизны аппарата портит низкое разрешение экрана. Не скажу что все плохо, шрифты сделаны красиво и иконки выглядят ровно, но пиксельную сетку видно невооруженным глазом (разбаловал меня lg g3 ) full hd было бы ему в самый раз. Но тогда, полагаю не вытянул бы процессор и батарейка. Хотя все приложения и игры оптимизированы но по факту оптимизация заключается в урезании разрешения текстур, дальности прорисовки и т.п. Камера не плохого качества. Только при слабом освещении много шумов. Много читал про супер быструю фокусировку... Скажем так, она работает шустро, но не быстрее чем lg g3 или sony z1c. Примерно одинаково. Прилично греется в играх. Понравился сенсор отпечатков. Работает очень хорошо. Ошибок практически не бывает. Прошивка 8.1 работает стабильно, шустро и притензий к ней нет. Единственное айтюнс... так и не могу привыкнуть. Для меня в 100 раз легче просто кинуть папку или файл на телефон. Зато есть простая синхронизация по wi fi.(( Город Казань ))",5
